title,price,ratings,reviews,discount,mrp,availability
Sony PlayStation5 Gaming Console (Slim),"54,989.",4.5 out of 5,513 ratings,,"₹54,990",In stock
Sony PlayStation®5 Digital Edition (slim) Console Video Game,"49,990.",4.6 out of 5,467 ratings,,"₹64,730.00",In stock
PlayStation®5 Console STD SLIM (COD Bundle),"54,990.",5 out of 5,3 ratings,,"₹54,99,000.00",In stock
PlayStation®5 Console Digital SLIM (COD Bundle),"49,990.",,,,"₹49,99,000.00",In stock
Sony DualSense Wireless Controller White (PlayStation 5),"5,999.",4.2 out of 5,"4,118 ratings",-6%,"₹6,390",In stock
Sony DualSense Wireless Controller Red (PlayStation 5),"6,390.",4.4 out of 5,860 ratings,,"₹49,990.00",In stock
Playstation |2% cashback | E-Gift Card | Instant Delivery | Valid for in-game purchases,"1,000.",4.7 out of 5,"1,091 ratings",,"₹1,000",In stock
Rockstar Games PS5 Video Game ConsoleGrand Theft Auto V,"1,980.",4.5 out of 5,"1,210 ratings",-14%,"₹2,300",In stock
"Big Ant Studios Cricket 24, Standard Edition, Playstation 5","2,295.",3.9 out of 5,266 ratings,-47%,"₹4,299",In stock
Sony PlayStation Portal Remote Player,"18,990.",4.2 out of 5,76 ratings,,"₹3,999.00",In stock
"PSS Storage Bag for PS5 Slim, Hard Travel Carrying Case for PS5 Slim, Waterproof Shoulder Bag with Both Side Compartments Travel Accessories for PS5 Slim Disk/ Digital (Only Travel Bag), Black","2,249.",5 out of 5,10 ratings,-25%,"₹2,990",In stock
"PSS Hard Carrying Case Storage Bag for PS5, Travel Bag Compatible for Play/Station 5 Console Disk Digital & 2 Controller, Stand, Cable, Waterproof and Shockproof Nylon Fabric (PS5 Accessories)","2,349.",4.4 out of 5,12 ratings,-21%,"₹2,990",In stock
"OIVO PS5 Charging Station, 2H Fast PS5 Controller Charger for Playstation 5 Dualsense Controller, Upgrade PS5 Charging Dock with 2 Types of Cable, PS5 Charger for Dual PS5 Controller","1,921.",4.4 out of 5,"16,274 ratings",-36%,"₹2,999",In stock
Razer Quick Charging Stand for Play Station 5 DualSense Wireless Controller - Red - RC21-01900300-R3M1,"3,333.",4.6 out of 5,871 ratings,-52%,"₹6,999",In stock
Electronic Arts Need For Speed Unbound | Standard Edition | Playstation 5 (PS5),"1,899.",4.2 out of 5,112 ratings,-58%,"₹4,499",In stock
Electronic Arts EA Sports FC 25 | Standard Edition | PlayStation 5,"2,861.",4.4 out of 5,147 ratings,-43%,"₹4,999",In stock
PlayStation Sony Ps5 Marvel's Spiderman : Miles Morales,"2,226.",4.3 out of 5,"1,187 ratings",-44%,"₹3,999",In stock
Cranique Waterproof Dust cover for PS5 Gaming Console Digital Edition & Disc Edition Playstation 5 (Black),249.,4.3 out of 5,186 ratings,-75%,₹999,In stock
MAINDAIS Horizontal Dust Cover For Transparent PS5 games Console Dust Guard With Back Cable Port For Playstation 5 Console Digital & Disk Version Protects from Dust Water and Scratches –(MDPS5HTC-102),299.,3.1 out of 5,5 ratings,-70%,"₹29,900.00",In stock
MAINDAIS Vertical Dust Cover For Transparent PS5 games Console Dust Guard With Back Cable Port For Playstation 5 Console Digital & Disk Version Protects from Dust Water and Scratches – (MDPS5VTC-101),349.,3.5 out of 5,2 ratings,-65%,"₹34,900.00",In stock
"Shibui Waterproof Protective Sleeve for PS5 Console – Anti-Scratch, Dust Guard, Durable Cover for PS cansole Easy Installation, Non-Slip Design, Aesthetic Enhancement.(40X29.5X11.5 CM)",249.,3 out of 5,13 ratings,-50%,₹499,In stock
"yantralay PS 5 Carrying Case Bag for PS5 Console Gamepad, Controller, Headset, VR Play Statio n Accessories - Travel Bag - Black","2,449.",4.6 out of 5,96 ratings,-39%,"₹3,999",In stock
