title,price,ratings,reviews,discount,mrp,availability
"Samsung Galaxy Z Fold7 5G Smartphone with Galaxy AI (Silver Shadow, 12GB RAM, 256GB Storage), Ultra Sleek Design with 200MP Camera, Powerful Snapdragon 8 Elite, Google Gemini","1,74,999.",,,,"₹3,398.00",In stock
"VIVO X200 FE 5G (Amber Yellow, 12GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers","54,999.",4 out of 5,23 ratings,-15%,"₹64,999",In stock
"Samsung Galaxy S25 Ultra 5G Smartphone with Galaxy AI (Titanium Silverblue, 12GB RAM, 256GB Storage), Titanium Frame, Snapdragon 8 Elite, 200 MP Camera with ProVisual Engine and 5000mAh Battery","1,17,999.",4.2 out of 5,332 ratings,-9%,"₹1,29,999",In stock
"Samsung Galaxy S25 Ultra 5G Smartphone with Galaxy AI (Titanium Black, 12GB RAM, 512GB Storage), Titanium Frame, Snapdragon 8 Elite, 200 MP Camera with ProVisual Engine and 5000mAh Battery","1,29,999.",4.2 out of 5,332 ratings,-8%,"₹1,41,999",In stock
"Samsung Galaxy S25 Ultra 5G Smartphone with Galaxy AI (Titanium Gray, 12GB RAM, 512GB Storage), Titanium Frame, Snapdragon 8 Elite, 200 MP Camera with ProVisual Engine and 5000mAh Battery","1,29,999.",4.2 out of 5,332 ratings,-8%,"₹1,41,999",In stock
"Samsung Galaxy S25 Ultra 5G Smartphone with Galaxy AI (Titanium Black, 12GB RAM, 256GB Storage), Titanium Frame, Snapdragon 8 Elite, 200 MP Camera with ProVisual Engine and 5000mAh Battery","1,17,999.",4.2 out of 5,332 ratings,-9%,"₹1,29,999",In stock
"Samsung Galaxy S25 Ultra 5G Smartphone with Galaxy AI (Titanium Silverblue, 12GB RAM, 512GB Storage), Titanium Frame, Snapdragon 8 Elite, 200 MP Camera with ProVisual Engine and 5000mAh Battery","1,29,999.",4.2 out of 5,332 ratings,-8%,"₹1,41,999",In stock
"Samsung Galaxy S25 Ultra 5G Smartphone with Galaxy AI (Titanium Whitesilver, 12GB RAM, 256GB Storage), Titanium Frame, Snapdragon 8 Elite, 200 MP Camera with ProVisual Engine and 5000mAh Battery","1,17,999.",4.2 out of 5,332 ratings,-9%,"₹1,29,999",In stock
"Samsung Galaxy S25 Ultra 5G Smartphone with Galaxy AI (Titanium Gray, 12GB RAM, 256GB Storage), Titanium Frame, Snapdragon 8 Elite, 200 MP Camera with ProVisual Engine and 5000mAh Battery","1,09,990.",4.2 out of 5,332 ratings,-15%,"₹1,29,999",In stock
"Samsung Galaxy S25 Ultra 5G Smartphone with Galaxy AI (Titanium Silverblue, 12GB RAM, 1TB Storage), Titanium Frame, Snapdragon 8 Elite, 200 MP Camera with ProVisual Engine and 5000mAh Battery","1,17,999.",4.2 out of 5,332 ratings,-7%,"₹1,65,999",Available to ship in 1-2 days
Redmi Note 14 Pro 5G Champagne Gold 8GB RAM 256GB Storage|50 MP Sony Camera Setup|Corning Gorilla Glass Victus 2 | 1.5K 3D Curved AMOLED | Mediatek Dimensity 7300- Ultra | IP68 IP69,"24,999.",4.1 out of 5,143 ratings,-19%,"₹30,999",In stock
"Xiaomi 15 (White, 12GB/512GB)| 50 MP Leica Triple Camera | SD 8 Elite | 1.5K CrystalRes Dynamic 1-120 Hz AMOLED | Hyper AI","64,998.",4.4 out of 5,209 ratings,-19%,"₹79,999",In stock
"Samsung Galaxy S25 Ultra 5G Smartphone with Galaxy AI (Titanium Whitesilver, 12GB RAM, 512GB Storage), Titanium Frame, Snapdragon 8 Elite, 200 MP Camera with ProVisual Engine and 5000mAh Battery","1,29,999.",4.2 out of 5,332 ratings,-8%,"₹1,41,999",In stock
"Samsung Galaxy S24 Ultra 5G AI Smartphone with Galaxy AI (Titanium Gray, 12GB, 256GB Storage), Snapdragon 8 Gen 3, 200 MP Camera with ProVisual Engine and 5000mAh Battery","82,999.",4.4 out of 5,"1,674 ratings",-39%,"₹1,34,999",In stock
"Samsung Galaxy S24 Ultra 5G AI Smartphone with Galaxy AI (Titanium Black, 12GB, 256GB Storage), Snapdragon 8 Gen 3, 200 MP Camera with ProVisual Engine and 5000mAh Battery","50,400.",4.4 out of 5,"1,674 ratings",,"₹2,999.00",
"ESR for Samsung Galaxy S25 Ultra Case, Compatible with MagSafe, Magnetic Case for Samsung Galaxy S25 Ultra, Military-Grade Protection, TPU, Classic Hybrid Case (HaloLock), Frosted Black","1,329.",4.2 out of 5,822 ratings,-37%,"₹2,099",In stock
"Samsung Galaxy S25 Edge 5G AI Smartphone (Titanium Silver, 12GB RAM, 256GB Storage) | Precision Built with Titanium | Ultra-Sleek and Premium with a 200 MP Camera | Snapdragon 8 Elite for Galaxy","1,04,999.",3 out of 5,14 ratings,-5%,"₹1,09,999",In stock
"Samsung Galaxy S25 Edge 5G AI Smartphone (Titanium Silver, 12GB RAM, 512GB Storage) | Precision Built with Titanium | Ultra-Sleek and Premium with a 200 MP Camera | Snapdragon 8 Elite for Galaxy","1,16,999.",3 out of 5,14 ratings,-4%,"₹1,21,999",In stock
"ESR for Samsung Galaxy S25 Ultra Camera Lens Protector, Individual Lens Protectors, Scratch-Resistant Tempered Glass with Aluminum Edging, Samsung Galaxy S25 Ultra Case Friendly, 1 Set, Black",853.,4.2 out of 5,"1,157 ratings",-43%,"₹1,499",In stock
OpenTech® Privacy Tempered Glass Screen Protector Compatible for Samsung Galaxy S25 Ultra with Edge to Edge Coverage and Easy Installation kit,283.,4 out of 5,"28,913 ratings",-72%,₹999,In stock
Redmi Note 14 Pro+ 5G Phantom Purple 12GB RAM 512GB Storage | 50 MP Triple Camera with Telephoto | Corning Gorilla Glass Victus 2 | IP 68 | SD 7s Gen 3,"32,999.",3.7 out of 5,57 ratings,-18%,"₹39,999",In stock
Redmi Note 14 Pro+ 5G Titan Black 8GB RAM 128GB Storage| 50 MP Triple Camera with Telephoto | Corning Gorilla Glass Victus 2 | IP 68 | SD 7s Gen 3,"27,999.",,,-20%,"₹34,999",In stock
